DATAFLOW,LAST UPDATE,freq,unit,bmi,lev_limit,age,sex,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:HLTH_DH050(1.0),11/03/14 23:00:00,A,PC_POP,18P5-25,NONE,Y15-24,F,AT,2008,74.5,
ESTAT:HLTH_DH050(1.0),11/03/14 23:00:00,A,PC_POP,18P5-25,NONE,Y15-24,F,BE,2008,76.6,u
ESTAT:HLTH_DH050(1.0),11/03/14 23:00:00,A,PC_POP,18P5-25,NONE,Y15-24,F,BG,2008,71.1,
ESTAT:HLTH_DH050(1.0),11/03/14 23:00:00,A,PC_POP,18P5-25,NONE,Y15-24,F,CY,2008,70.2,
ESTAT:HLTH_DH050(1.0),11/03/14 23:00:00,A,PC_POP,18P5-25,NONE,Y15-24,F,CZ,2008,68.9,
ESTAT:HLTH_DH050(1.0),11/03/14 23:00:00,A,PC_POP,18P5-25,NONE,Y15-24,F,EE,2008,74.4,
ESTAT:HLTH_DH050(1.0),11/03/14 23:00:00,A,PC_POP,18P5-25,NONE,Y15-24,F,EL,2008,75.7,
ESTAT:HLTH_DH050(1.0),11/03/14 23:00:00,A,PC_POP,18P5-25,NONE,Y15-24,F,ES,2008,68,
ESTAT:HLTH_DH050(1.0),11/03/14 23:00:00,A,PC_POP,18P5-25,NONE,Y15-24,F,FR,2008,69.9,
ESTAT:HLTH_DH050(1.0),11/03/14 23:00:00,A,PC_POP,18P5-25,NONE,Y15-24,F,HU,2008,67.6,
ESTAT:HLTH_DH050(1.0),11/03/14 23:00:00,A,PC_POP,18P5-25,NONE,Y15-24,F,LV,2008,81.9,
ESTAT:HLTH_DH050(1.0),11/03/14 23:00:00,A,PC_POP,18P5-25,NONE,Y15-24,F,MT,2008,63.8,u
ESTAT:HLTH_DH050(1.0),11/03/14 23:00:00,A,PC_POP,18P5-25,NONE,Y15-24,F,PL,2008,74.9,
ESTAT:HLTH_DH050(1.0),11/03/14 23:00:00,A,PC_POP,18P5-25,NONE,Y15-24,F,RO,2008,77.5,u
ESTAT:HLTH_DH050(1.0),11/03/14 23:00:00,A,PC_POP,18P5-25,NONE,Y15-24,F,SI,2008,75.5,
ESTAT:HLTH_DH050(1.0),11/03/14 23:00:00,A,PC_POP,18P5-25,NONE,Y15-24,F,SK,2008,74.9,
ESTAT:HLTH_DH050(1.0),11/03/14 23:00:00,A,PC_POP,18P5-25,NONE,Y15-24,F,TR,2008,73.6,
ESTAT:HLTH_DH050(1.0),11/03/14 23:00:00,A,PC_POP,18P5-25,NONE,Y15-24,M,AT,2008,74.7,
ESTAT:HLTH_DH050(1.0),11/03/14 23:00:00,A,PC_POP,18P5-25,NONE,Y15-24,M,BE,2008,73.9,u
ESTAT:HLTH_DH050(1.0),11/03/14 23:00:00,A,PC_POP,18P5-25,NONE,Y15-24,M,BG,2008,73.4,
ESTAT:HLTH_DH050(1.0),11/03/14 23:00:00,A,PC_POP,18P5-25,NONE,Y15-24,M,CY,2008,68.1,
ESTAT:HLTH_DH050(1.0),11/03/14 23:00:00,A,PC_POP,18P5-25,NONE,Y15-24,M,CZ,2008,69,
ESTAT:HLTH_DH050(1.0),11/03/14 23:00:00,A,PC_POP,18P5-25,NONE,Y15-24,M,EE,2008,74,
ESTAT:HLTH_DH050(1.0),11/03/14 23:00:00,A,PC_POP,18P5-25,NONE,Y15-24,M,EL,2008,73.3,
ESTAT:HLTH_DH050(1.0),11/03/14 23:00:00,A,PC_POP,18P5-25,NONE,Y15-24,M,ES,2008,70.8,
